OBJECTID,Parcel,vacant_land_flag,excise_nbr,gross_sale_price,document_date,prop_use_code,ShapeSTArea,ShapeSTLength
15279,35194.2506,N,202119025,6500000,2021/10/29 08:00:00+00,13,15975.0216330369,550.000258317747
15280,35212.4308,N,202119084,219000,2021/11/04 08:00:00+00,11,6081.81054913235,369.977319422092
15281,35222.4324,N,202118990,169900,2021/11/04 08:00:00+00,11,6750.36230101575,370.019674298255
15282,35223.3702,N,202119116,344000,2021/11/04 08:00:00+00,11,4358.04081055025,281.268258236025
15283,35274.2814,N,202118965,360000,2021/11/04 08:00:00+00,11,6250.53171865461,350.007111200732
15284,35284.0307,N,202118987,595000,2021/11/02 08:00:00+00,12,8236.14374712227,364.680094121227
15285,35303.4706,N,202119099,425000,2021/11/08 08:00:00+00,11,7219.37017837312,355.463302040955
15286,36071.1007,N,202119002,500000,2021/11/03 08:00:00+00,11,11662.9628046423,446.426844433406
15287,36074.5207,N,202119121,580000,2021/11/12 08:00:00+00,11,10437.9724528484,413.952861208489
15288,36101.0339,N,202119080,275500,2021/11/04 08:00:00+00,11,14042.7700034924,474.046822581936
15289,36192.2714,N,202119086,730000,2021/11/10 08:00:00+00,11,16652.9415310399,518.128873178312
15290,36214.0111,N,202119125,115000,2021/11/10 08:00:00+00,11,38978.6288097149,895.233440763093
15291,36274.1701,N,202119026,4057554,2021/09/28 08:00:00+00,51,211412.051947601,2257.39089735658
15292,36283.0607,Y,202119004,85000,2021/11/08 08:00:00+00,91,13463.8069492732,469.206445092202
15293,36311.1219,N,202118976,289900,2021/11/09 08:00:00+00,11,7660.58306612614,375.700282793244
15294,36311.1719,N,202119027,251275,2021/11/07 08:00:00+00,11,6250.6525671768,350.03645179988
15295,36323.0714,N,202119118,265000,2021/10/29 08:00:00+00,11,6013.61722555052,340.498971808887
15296,36331.1606,N,202118969,237800,2021/11/08 08:00:00+00,11,6248.2679877932,349.972453683798
15297,36333.3307,N,202119064,232000,2021/11/10 08:00:00+00,11,5944.05628981329,337.953952670478
15298,36364.1908,Y,202119074,110000,2021/11/05 08:00:00+00,91,11066.2975059475,429.688757942907
15299,37203.3403,N,202119032,720000,2021/11/08 08:00:00+00,11,23639.6352063694,684.797168069133
15300,37292.0120,N,202119131,645000,2021/11/03 08:00:00+00,11,40894.4456081431,904.311878365741
15301,37313.0606,N,202119093,895000,2021/10/30 08:00:00+00,11,129558.769255629,1674.96202013055
15302,38011.9060,Y,202118926,90000,2021/11/03 08:00:00+00,91,449123.21307518,2698.02423148333
15303,38172.9083,N,202118971,1023000,2021/10/28 08:00:00+00,11,437600.957405324,2646.29282094393
15304,39193.0103,Y,202119082,120000,2021/11/09 08:00:00+00,91,428346.36048601,3259.21693640709
15305,39332.9059,N,202119126,658500,2021/11/08 08:00:00+00,11,434043.527612372,3307.59445050272
15306,43051.9004,Y,202118959,580000,2021/11/08 08:00:00+00,91,1768199.30704905,6626.267025988
15307,43051.9029,N,202118959,580000,2021/11/08 08:00:00+00,91,233281.304533904,2013.39698786236
15308,44014.9056,N,202119067,575000,2021/10/28 08:00:00+00,11,206690.585349249,2089.99975235232
15309,44033.2109,N,202119059,725000,2021/11/07 08:00:00+00,11,23804.6856066586,623.581156664849
15310,44045.2610,N,202119071,642000,2021/11/04 08:00:00+00,11,32155.3869836373,716.82326678554
15311,45012.2117,N,202119113,402900,2021/11/05 08:00:00+00,11,13064.8263061371,468.02134220583
15312,45064.2210,N,202118951,336500,2021/11/09 08:00:00+00,11,11775.8024240703,443.599922392974
15313,45072.1001,N,202118930,409900,2021/11/03 08:00:00+00,11,11380.1671985524,432.900264299854
15314,45133.0905,N,202118985,395000,2021/11/09 08:00:00+00,11,21436.4794236516,587.622529636317
15315,45134.3301,N,202119110,310000,2021/11/10 08:00:00+00,11,20578.8373510798,577.554746942815
15316,45153.2904,N,202119094,420000,2021/11/11 08:00:00+00,11,7818.63735073221,354.612782397831
15317,45213.9185,N,202118975,250000,2021/11/09 08:00:00+00,11,11987.4084944892,453.428842803989
